dzid,prompt,A,B,C,D,E,answer
270,What positions has Denise Anne Lievesley held in her career?,"Chief Executive of the English Information Centre for Health and Social Care, Director of Statistics at UNESCO, and Director of the UNESCO Institute for Statistics.","Director of Statistics at UNESCO, Director of the UNESCO Institute for Statistics, and Director of the UK Data Archive.","Chief Executive of the English Information Centre for Health and Social Care, Director of Statistics at UNESCO, and Chief Executive of what is now the UK Data Archive.","Chief Executive of the English Information Centre for Health and Social Care, Director of Statistics at UNESCO, and Director of what is now the UK Data Archive.","Chief Executive of the English Information Centre for Health and Social Care, Director of the UNESCO Institute for Statistics, and Director of the UK Data Archive.",D
271,"What was the Abraham Jaquith House, also known as Farley Garrison house, listed as on the National Register of Historic Places in 1991?",Cultural Landmark,National Park,Republican Meeting House,Historic House,Museum,D
272,What position does Michelle Anne Rowland currently hold in the government of Anthony Albanese?,Minister for Health,Minister for Immigration,Minister for Finance,Minister for Education,Minister for Communications,E
273,In what field did Reuben Lindsay Gordon Jr. primarily work?,Medicine,Business,Engineering,Education,Law,E
274,Who was Karl Georg Friedrich Rudolf Leuckart?,Karl Georg Friedrich Rudolf Leuckart was a prominent German physicist known for his contributions to the field of optics.,Karl Georg Friedrich Rudolf Leuckart was a renowned French painter renowned for his Impressionist works.,Karl Georg Friedrich Rudolf Leuckart was a Dutch philosopher and social scientist whose philosophical writings influenced various disciplines.,Karl Georg Friedrich Rudolf Leuckart was a British mathematician recognized for his groundbreaking work in number theory.,Karl Georg Friedrich Rudolf Leuckart was a German zoologist born in Helmstedt.,E
275,In which department is the commune of Meaucé located in northern France?,Eure,Côte-d'Or,Loire-Atlantique,Eure-et-Loir,Pyrénées-Atlantiques,D
276,Who were Bartlett High School and Begich Junior High School named after?,U.S. Senator Bill Bartlett and U.S. Representative Nancy Begich,U.S. Senator Alex Bartlett and U.S. Representative Isabella Begich,U.S. Senator John Bartlett and U.S. Representative Nicole Begich,U.S. Senator Bob Bartlett and U.S. Representative Nick Begich,U.S. Senator Frank Bartlett and U.S. Representative Olivia Begich,D
277,"What was the format of Luba's debut release, ""Zorya""?",Cassette tape,Vinyl LP,CD,Digital download,8-track tape,B
278,"What is the population of North Pembroke, Massachusetts, according to the 2010 census?","The population of North Pembroke is estimated to be around 3,500 residents, based on data collected by the town's community development office.","The population of North Pembroke is estimated to be around 3,000 residents, based on projections made by demographic experts.","The population of North Pembroke was recorded as 3,292 residents, according to the 2010 census.","The population of North Pembroke was recorded as 3,500 residents in the most recent survey conducted by the U.S. Census Bureau.","The population of North Pembroke is estimated to be around 4,000 residents, based on recent surveys conducted by local government authorities.",C
279,"What is the length of the southbound road of State Road 925 in Miami, Florida?",0.506 miles,0.565 miles,0.814 km,0.909 miles,0.909 km,A
280,What is Hendrik Relve known for?,"He is known for his efforts in environmental conservation, writing about nature, and capturing its beauty through photography.",He is known for his advocacy for human rights and his work as a social activist.,He is known for his contributions to the field of genetics and his groundbreaking discoveries in gene editing.,He is known for his research in renewable energy sources and the development of sustainable technologies.,"He is known for his work as a musician, composer, and conductor, with multiple critically acclaimed albums and performances.",A
281,Which river flows through the municipality of Markvippach?,The Weser River,The Unstrut River,The Danube River,The Elbe River,The Rhine River,B
282,What is a filter bubble or ideological frame?,"A state of intellectual curiosity that results from personalized searches, encouraging users to explore a wide range of viewpoints.",A state of intellectual stimulation that occurs when personalized searches provide users with diverse and unbiased information from various viewpoints.,"A state of intellectual isolation that can result from personalized searches, selectively curating search results based on user information, resulting in limited and customized views.",A state of intellectual growth that happens when personalized searches provide users with a well-rounded and comprehensive understanding of different ideologies and cultures.,A state of intellectual engagement where users are constantly challenging their beliefs and seeking alternative perspectives through personalized searches.,C
283,"What is the availability status of Captain Everything!'s first full-length album ""Music By Idiots""?",The album is only available as a limited edition vinyl release.,The album is currently being reissued with bonus tracks.,The album is available for free download on the band's website.,The album is currently in print and widely available for purchase.,The album is out-of-print and unavailable for purchase.,E
284,"What is the significance of Kawasa Station in Hiroshima Prefecture, Japan?","Kawasa Station is a historical landmark in Fuchū, Hiroshima Prefecture.",Kawasa Station is an abandoned railway station in Hiroshima Prefecture.,"Kawasa Station is a passenger railway station located in the city of Fuchū, Hiroshima Prefecture, Japan and is operated by the West Japan Railway Company.",Kawasa Station is the busiest passenger railway station in Hiroshima Prefecture.,"Kawasa Station is a major freight railway station in Fuchū, Hiroshima Prefecture.",C
285,"When did the television series ""La Luna Sangre"" premiere on ABS-CBN's Primetime Bida evening block and worldwide on The Filipino Channel?","June 19, 2017",Bagani timeslot,My Dear Heart timeslot,"March 2, 2018",None of the above.,A
286,"What is the film ""The Star"" about?",A gripping tale of a renowned actress facing an unexpected personal tragedy while filming her latest blockbuster.,A suspenseful thriller centered around a mysterious starlet and the secrets she holds that could shake the industry.,"A heartwarming story about a young girl and her dreams of becoming a famous movie star, despite all odds.","The rise and fall of a once-successful actress, fighting against the stigma of aging in the entertainment industry.","The journey of a young actress striving to make it big in Hollywood, with the support of her mentor and a promising new script.",D
287,"What did the film Innathe Program, directed by P. G. Vishwambharan, focus on?","The film Innathe Program focused on the vibrant music scene of a small town, showcasing the talents of local musicians and their journey towards achieving recognition.","The film Innathe Program focused on a heartwarming tale of family and the challenges faced by the protagonist, played by Mukesh, as he navigates through the ups and downs of life.",The film Innathe Program focused on the life of a renowned artist and his journey to overcome personal and professional challenges to leave a lasting legacy in the art world.,"The film Innathe Program focused on the exploration of various scientific theories in a fictional setting, featuring a group of researchers trying to unlock the secrets of the universe.",The film Innathe Program focused on the historical events surrounding a freedom fighter's struggle for independence and his ultimate sacrifice for the nation.,B
